# Equation de SCHRODINGER
# x phi(x) phi'(x) N(x)
0.000000 +0.000000000000000000e+00 +8.887233494020618352e+00 +0.000000000000000000e+00
0.010101 +8.970976848162399986e-02 +8.869336654827334243e+00 +2.711167755760837949e-05
0.020202 +1.790582273832404536e-01 +8.815718217462686468e+00 +2.163696995535761467e-04
0.030303 +2.676855223132158512e-01 +8.726594132267514681e+00 +7.273108377923155577e-04
0.040404 +3.552347033958478950e-01 +8.602323349959631216e+00 +1.714294717097827403e-03
0.050505 +4.413531629008667356e-01 +8.443406375945812670e+00 +3.324019561633156320e-03
0.060606 +5.256940553847765374e-01 +8.250483254516783660e+00 +5.693161243300020290e-03
0.070707 +6.079176946243610713e-01 +8.024330991043953532e+00 +8.946173629218710094e-03
0.080808 +6.876929217161511509e-01 +7.765860422560061593e+00 +1.319328562935143632e-02
0.090909 +7.646984388317913384e-01 +7.476112549327732282e+00 +1.852872717965010560e-02
0.101010 +8.386241032575297849e-01 +7.156254342170351279e+00 +2.502921271164814526e-02
0.111111 +9.091721765060528648e-01 +6.807574042451707719e+00 +3.275270651542965678e-02
0.121212 +9.760585234698184731e-01 +6.431475973633824061e+00 +4.173748986614565087e-02
0.131313 +1.039013756786246967e+00 +6.029474885309618948e+00 +5.200154492768201131e-02
0.141414 +1.097784321805788776e+00 +5.603189852489993683e+00 +6.354226534889506617e-02
0.151515 +1.152133517793093809e+00 +5.154337754716132203e+00 +7.633649821006312230e-02
0.161616 +1.201842451248523957e+00 +4.684726361260930894e+00 +9.034091664443512359e-02
0.171717 +1.246710917510176930e+00 +4.196247050267619905e+00 +1.054927171379983208e-01
0.181818 +1.286558207085945149e+00 +3.690867191150766224e+00 +1.217106302851150429e-01
0.191919 +1.321223833468018638e+00 +3.170622220939479430e+00 +1.388962287330080536e-01
0.202020 +1.350568179498534471e+00 +2.637607446475652040e+00 +1.569355112651220630e-01
0.212121 +1.374473059683083198e+00 +2.093969605484175656e+00 +1.757007375292298501e-01
0.222222 +1.392842196187395576e+00 +1.541898220503352679e+00 +1.950524838822818574e-01
0.232323 +1.405601606599846898e+00 +9.836167804976099216e-01 +2.148418872653855560e-01
0.242424 +1.412699901898993859e+00 +4.213737856699300011e-01 +2.349130409960716315e-01
0.252525 +1.414108493424427015e+00 -1.425663084606859088e-01 +2.551055039202547725e-01
0.262626 +1.409821708019380671e+00 -7.059322112417971695e-01 +2.752568825416364384e-01
0.272727 +1.399856810878874036e+00 -1.266454944599357590e+00 +2.952054445720186382e-01
0.282828 +1.384253936013438491e+00 -1.821876981434662701e+00 +3.147927218401223026e-01
0.292929 +1.363075924608175171e+00 -2.369961337902579679e+00 +3.338660606679416110e-01
0.303030 +1.336408071927364105e+00 -2.908500582951035085e+00 +3.522810786690344087e-01
0.313131 +1.304357783784394487e+00 -3.435325728835243897e+00 +3.699039884291769886e-01
0.323232 +1.267054143960708146e+00 -3.948314966800214432e+00 +3.866137506722366335e-01
0.333333 +1.224647394315859339e+00 -4.445402212747982418e+00 +4.023040222583443293e-01
0.343434 +1.177308329682585919e+00 -4.924585428471648818e+00 +4.168848676634148709e-01
0.353535 +1.125227609983979971e+00 -5.383934684942081716e+00 +4.302842063955737983e-01
0.363636 +1.068614992343021708e+00 -5.821599935171020590e+00 +4.424489730538400667e-01
0.373737 +1.007698486278083783e+00 -6.235818465349270312e+00 +4.533459713592615792e-01
0.383838 +9.427234353853278792e-01 -6.624921994243226031e+00 +4.629624084136094164e-01
0.393939 +8.739515292081060371e-01 -6.987343392263840158e+00 +4.713061005874759068e-01
0.404040 +8.016597492721246887e-01 -7.321622993142220537e+00 +4.784053477241193564e-01
0.414141 +7.261392535312868324e-01 -7.626414472789935672e+00 +4.843084776836041327e-01
0.424242 +6.476942037180254408e-01 -7.900490271673874965e+00 +4.890830685574274472e-01
0.434343 +5.666405403199914481e-01 -8.142746538859269023e+00 +4.928148610711340916e-01
0.444444 +4.833047101174604565e-01 -8.352207577812237105e+00 +4.956063786787013870e-01
0.454545 +3.980223514057885659e-01 -8.528029776046873067e+00 +4.975752775567711117e-01
0.464646 +3.111387068308587578e-01 -8.668399780615647643e+00 +4.988524543865526795e-01
0.474747 +2.230443590224532313e-01 -8.767700710823859822e+00 +4.995800232117164619e-01
0.484848 +1.341367069247889343e-01 -8.830322681906073612e+00 +4.999090352058951914e-01
0.494949 +4.476282460218897197e-02 -8.860553247008951416e+00 +4.999966263849214831e-01
0.505051 -4.476282532383830948e-02 -8.860553246879462108e+00 +5.000033736415149255e-01
0.515152 -1.341367076444127948e-01 -8.830322681458648404e+00 +5.000909648217980452e-01
0.525253 -2.230443597404371814e-01 -8.767700709911443013e+00 +5.004199768182898689e-01
0.535354 -3.111387075466843233e-01 -8.668399779204586153e+00 +5.011475456467058276e-01
0.545455 -3.980223523338720093e-01 -8.528029816097914662e+00 +5.024247224820099778e-01
0.555556 -4.833047114485336526e-01 -8.352207617422381603e+00 +5.043936213700923599e-01
0.565657 -5.666405420496968270e-01 -8.142746577879707459e+00 +5.071851389936987697e-01
0.575758 -6.476942058399365321e-01 -7.900490309947892698e+00 +5.109169315307390269e-01
0.585859 -7.261392560374347882e-01 -7.626414510163499472e+00 +5.156915224362899064e-01
0.595960 -8.016597521530371973e-01 -7.321623029464719323e+00 +5.215946524368603177e-01
0.606061 -8.739515324528497331e-01 -6.987343427388680084e+00 +5.286938996247636524e-01
0.616162 -9.427234389814366233e-01 -6.624922028027544485e+00 +5.370375918607371846e-01
0.626263 -1.007698490211550446e+00 -6.235818497654344483e+00 +5.466540289885916115e-01
0.636364 -1.068614996598467259e+00 -5.821599965863978099e+00 +5.575510273792234628e-01
0.646465 -1.125227614544564103e+00 -5.383934713895726532e+00 +5.697157941345409871e-01
0.656566 -1.177308334530240863e+00 -4.924585455565971159e+00 +5.831151329755152046e-01
0.666667 -1.224647399431108230e+00 -4.445402237869681805e+00 +5.976959785009222648e-01
0.676768 -1.267054149322960566e+00 -3.948314989844240674e+00 +6.133862502184298515e-01
0.686869 -1.304357789372034615e+00 -3.435325749705185228e+00 +6.300960126033156028e-01
0.696970 -1.336408077716579879e+00 -2.908500601556515353e+00 +6.477189225150711271e-01
0.707071 -1.363075930575518679e+00 -2.369961354166580048e+00 +6.661339406763766569e-01
0.717172 -1.384253942134742621e+00 -1.821876995289864132e+00 +6.852072796719015368e-01
0.727273 -1.399856817128642739e+00 -1.266454955987623032e+00 +7.047945571140260546e-01
0.737374 -1.409821714372235135e+00 -7.059322201163926724e-01 +7.247431193233392355e-01
0.747475 -1.414108499854370038e+00 -1.425663147852531953e-01 +7.448944981271496957e-01
0.757576 -1.412699908379921210e+00 +4.213737819210554569e-01 +7.650869612357833471e-01
0.767677 -1.405601613106114867e+00 +9.836167793399429593e-01 +7.851581151514682722e-01
0.777778 -1.392842202693152842e+00 +1.541898221942393565e+00 +8.049475187186447833e-01
0.787879 -1.374473066162407831e+00 +2.093969609515337282e+00 +8.242992652533850384e-01
0.797980 -1.350568185925433484e+00 +2.637607453083888220e+00 +8.430644916953469181e-01
0.808081 -1.321223839816699996e+00 +3.170622230099520156e+00 +8.611037744001048821e-01
0.818182 -1.286558213330917244e+00 +3.690867202827222027e+00 +8.782893730141393407e-01
0.828283 -1.246710923626370926e+00 +4.196247064415202566e+00 +8.945072863197099933e-01
0.838384 -1.201842457211392823e+00 +4.684726377824676824e+00 +9.096590869629782583e-01
0.848485 -1.152133523578708463e+00 +5.154337773631691988e+00 +9.236635055373865200e-01
0.858586 -1.097784327390931125e+00 +5.603189873683962929e+00 +9.364577385281581678e-01
0.868687 -1.039013762148428111e+00 +6.029474908699487656e+00 +9.479984590679354506e-01
0.878788 -9.760585285871540284e-01 +6.431475999126910814e+00 +9.582625142365295279e-01
0.888889 -9.091721813576627564e-01 +6.807574069946885409e+00 +9.672472976825505775e-01
0.898990 -8.386241078235683322e-01 +7.156254371558158134e+00 +9.749707915698225813e-01
0.909091 -7.646984430935626076e-01 +7.476112580490984705e+00 +9.814712771736302521e-01
0.919192 -6.876929256561812309e-01 +7.765860455374342664e+00 +9.868067187843808652e-01
0.929293 -6.079176982264687945e-01 +8.024331025378124593e+00 +9.910538308341151348e-01
0.939394 -5.256940586341395383e-01 +8.250483290233511013e+00 +9.943068432594680539e-01
0.949495 -4.413531657835896294e-01 +8.443406412893622814e+00 +9.966759849712131247e-01
0.959596 -3.552347059001605412e-01 +8.602323387989997627e+00 +9.982857098375245153e-01
0.969697 -2.676855244288707802e-01 +8.726594171227501917e+00 +9.992726937314421187e-01
0.979798 -1.790582291014432836e-01 +8.815718257190955143e+00 +9.997836348783981641e-01
0.989899 -8.970976979537617635e-02 +8.869336695163285711e+00 +9.999728929045683667e-01
1.000000 -9.039484976519629456e-10 +8.887233534800252244e+00 +1.000000004583189828e+00
