# Equation de SCHRODINGER
# x phi(x) phi'(x) N(x)
0.242424 +1.058521735161281008e+00 -8.832135322843516434e+00 +2.936761743088457943e-01
0.252525 +9.646141741576614859e-01 -9.747409012564020259e+00 +3.040354114381114137e-01
0.262626 +8.619039694069257074e-01 -1.057373214434702646e+01 +3.124818027437314405e-01
0.272727 +7.513284089625479334e-01 -1.130356405754063154e+01 +3.190741317486908701e-01
0.282828 +6.338965566466742141e-01 -1.193024462781645845e+01 +3.239387049984783218e-01
0.292929 +5.106800437789570379e-01 -1.244805504453351297e+01 +3.272647521079749544e-01
0.303030 +3.828032899407234346e-01 -1.285226999806294934e+01 +3.292975342154663698e-01
0.313131 +2.514332420197617490e-01 -1.313920080093578413e+01 +3.303294118269271551e-01
0.323232 +1.177687251647190902e-01 -1.330622904911665394e+01 +3.306891973500593607e-01
0.333333 -1.697049716330956831e-02 -1.335183051644135155e+01 +3.307301800880919629e-01
0.343434 -1.515548542149507683e-01 -1.327558906402659389e+01 +3.308172598104079931e-01
0.353535 -2.847561884732889848e-01 -1.307820043776351859e+01 +3.313136574821027303e-01
0.363636 -4.153589632777888174e-01 -1.276146591924434226e+01 +3.325676871338779095e-01
0.373737 -5.421713552760465404e-01 -1.232827588806688723e+01 +3.349000706269313898e-01
0.383838 -6.640361304783960472e-01 -1.178258344550433279e+01 +3.385922572960144428e-01
0.393939 -7.798412046651240770e-01 -1.112936834024335475e+01 +3.438761738571245452e-01
0.404040 -8.885297917768564258e-01 -1.037459152539358520e+01 +3.509257778774865777e-01
0.414141 -9.891100476781475859e-01 -9.525140761455531901e+00 +3.598507224217392109e-01
0.424242 -1.080664121289575341e+00 -8.588767761653427257e+00 +3.706923626012860740e-01
0.434343 -1.162356530492768769e+00 -7.574017453224656471e+00 +3.834222494639629719e-01
0.444444 -1.233441786371702875e+00 -6.490150000176505785e+00 +3.979431660753843247e-01
0.454545 -1.293271196215900476e+00 -5.347056299110922062e+00 +4.140926680586865527e-01
0.464646 -1.341305872219645590e+00 -4.159710356625845762e+00 +4.316490217738459534e-01
0.474747 -1.377301147652289171e+00 -2.967843403048245232e+00 +4.503413722618774817e-01
0.484848 -1.401272806077318300e+00 -1.779043724423773343e+00 +4.698660976004438439e-01
0.494949 -1.413249820341596852e+00 -5.927063737133891896e-01 +4.898985023879252054e-01
0.505051 -1.413249820316385463e+00 +5.927063787282825791e-01 +5.101014975135207408e-01
0.515152 -1.401272806002763271e+00 +1.779043729396726281e+00 +5.301339022995059658e-01
0.525253 -1.377301147530651360e+00 +2.967843407938035583e+00 +5.496586276349747502e-01
0.535354 -1.341305872052383608e+00 +4.159710361390567712e+00 +5.683509781185065446e-01
0.545455 -1.293271196176259741e+00 +5.347056272028674506e+00 +5.859073318297612909e-01
0.555556 -1.233441786610681268e+00 +6.490149973210523449e+00 +6.020568338161120803e-01
0.565657 -1.162356531008192473e+00 +7.574017426634169325e+00 +6.165777504372765838e-01
0.575758 -1.080664122076606448e+00 +8.588767735695682859e+00 +6.293076373154226077e-01
0.585859 -9.891100487290636067e-01 +9.525140736381400686e+00 +6.401492775149599801e-01
0.595960 -8.885297930810100997e-01 +1.037459150144258757e+01 +6.490742220823257913e-01
0.606061 -7.798412062090923635e-01 +1.112936831763853895e+01 +6.561238261273517614e-01
0.616162 -6.640361322465495597e-01 +1.178258342445318085e+01 +6.614077427131250797e-01
0.626263 -5.421713572508709555e-01 +1.232827586876157433e+01 +6.650999294053663302e-01
0.636364 -4.153589654393156083e-01 +1.276146590184030671e+01 +6.674323129185995018e-01
0.646465 -2.847561908011115306e-01 +1.307820042241783476e+01 +6.686863425863346366e-01
0.656566 -1.515548566871087188e-01 +1.327558905086782559e+01 +6.691827402686288950e-01
0.666667 -1.697049975691282755e-02 +1.335183050558025109e+01 +6.692698199952391569e-01
0.676768 +1.177687224734431382e-01 +1.330622904065002565e+01 +6.693108027305542107e-01
0.686869 +2.514332392556339890e-01 +1.313920079495046522e+01 +6.696705882434605961e-01
0.696970 +3.828032871296147555e-01 +1.285226999462545905e+01 +6.707024658369429293e-01
0.707071 +5.106800409471350388e-01 +1.244805504367660198e+01 +6.727352479187690415e-01
0.717172 +6.338965538217401496e-01 +1.193024462956776155e+01 +6.760612949952016226e-01
0.727273 +7.513284061715693740e-01 +1.130356406188461449e+01 +6.809258682051830824e-01
0.737374 +8.619039666768196772e-01 +1.057373215124346366e+01 +6.875181971644861445e-01
0.747475 +9.646141715147962259e-01 +9.747409021946589647e+00 +6.959645884197265264e-01
0.757576 +1.058521732630897105e+00 +8.832135334617586153e+00 +7.063238254952992623e-01
0.767677 +1.142769691017260669e+00 +7.836263473469227137e+00 +7.185850280582581906e-01
0.777778 +1.216589236942467567e+00 +6.768881326120063768e+00 +7.326680481688574442e-01
0.787879 +1.279306725770366970e+00 +5.639729351539004121e+00 +7.484263891852175332e-01
0.797980 +1.330349825342221459e+00 +4.459111692903341861e+00 +7.656525410189727321e-01
0.808081 +1.369252738832998695e+00 +3.237802146553159677e+00 +7.840855374365227615e-01
0.818182 +1.395660455401600331e+00 +1.986945845047082049e+00 +8.034204601787789946e-01
0.828283 +1.409331989867979251e+00 +7.179575516125862311e-01 +8.233195437669063033e-01
0.838384 +1.410142581834788800e+00 -5.575825059598162881e-01 +8.434244765703241553e-01
0.848485 +1.398084834197909521e+00 -1.828034311368403886e+00 +8.633694501439166391e-01
0.858586 +1.373268780647351583e+00 -3.081804281459640027e+00 +8.827944815915612642e-01
0.868687 +1.335920881548599448e+00 -4.307451064155247700e+00 +9.013585237691119634e-01
0.878788 +1.286381957365760220e+00 -5.493789947188807865e+00 +9.187518858670301602e-01
0.888889 +1.225104078483993275e+00 -6.629994924859532901e+00 +9.347075120278854898e-01
0.898990 +1.152646439814346557e+00 -7.705697491387803133e+00 +9.490107072431912538e-01
0.909091 +1.069670257827571191e+00 -8.711081259328489423e+00 +9.615069563225324689e-01
0.919192 +9.769327365837364718e-01 -9.636971539592627423e+00 +9.721075511762207189e-01
0.929293 +8.752801578221867107e-01 -1.047491906561751129e+01 +9.807928214717726023e-01
0.939394 +7.656401581676083312e-01 -1.121727709765095682e+01 +9.876128510070031341e-01
0.949495 +6.490132639269419190e-01 -1.185727120352719943e+01 +9.926856537101494959e-01
0.959596 +5.264637607272738551e-01 -1.238906107914798405e+01 +9.961928756952191932e-01
0.969697 +3.991099813136357866e-01 -1.280779384450310232e+01 +9.983731798992278028e-01
0.979798 +2.681141001398573143e-01 -1.310964832897377796e+01 +9.995135542261465167e-01
0.989899 +1.346715278737748711e-01 -1.329186994158464152e+01 +9.999388597454911265e-01
1.000000 +2.608006848675570311e-09 -1.335279580822508727e+01 +9.999999995897663752e-01
