# Equation de SCHRODINGER
# x phi(x) phi'(x) N(x)
0.202020 +8.910179091206206214e-01 -1.316692962549355705e+01 +2.386727730806893766e-01
0.210101 +7.805012613338446759e-01 -1.416398064883558483e+01 +2.443344720125288638e-01
0.218182 +6.624724165761212147e-01 -1.502470567530192547e+01 +2.485570290709293584e-01
0.226263 +5.380673831717103228e-01 -1.574082036730464829e+01 +2.514838443890794473e-01
0.234343 +4.084835392171883850e-01 -1.630543223805466013e+01 +2.533080832751121725e-01
0.242424 +2.749681080145344736e-01 -1.671310699065795546e+01 +2.542652573685318385e-01
0.250505 +1.388061537495476894e-01 -1.695992082230410958e+01 +2.546241794133451419e-01
0.258586 +1.308212959636166975e-03 -1.704349819023545010e+01 +2.546766390454390794e-01
0.266667 -1.362023191660714505e-01 -1.696303467596369785e+01 +2.547261961131500052e-01
0.274747 -2.724019262491211846e-01 -1.671930472765840747e+01 +2.550765219427393315e-01
0.282828 -4.059797093502508503e-01 -1.631465420620489226e+01 +2.560197363223901124e-01
0.290909 -5.356500041570677606e-01 -1.575297780667825265e+01 +2.578251881427593428e-01
0.298990 -6.601647552929805762e-01 -1.503968157255040516e+01 +2.607291105926622943e-01
0.307071 -7.792569150146096968e-01 -1.445134975407526845e+01 +2.649288164073230756e-01
0.315152 -8.934984134550584267e-01 -1.380879941734562877e+01 +2.705962063549293695e-01
0.323232 -1.002198708539014715e+00 -1.308061113819434773e+01 +2.778716140957362968e-01
0.331313 -1.104683674346517375e+00 -1.227130091718337468e+01 +2.868555534417619457e-01
0.339394 -1.200317730525077842e+00 -1.138588784829790157e+01 +2.976062207590729480e-01
0.347475 -1.288507783964354614e+00 -1.042986299206505940e+01 +3.101380535419322459e-01
0.355556 -1.368706906977906756e+00 -9.409155321679241624e+00 +3.244213728204159430e-01
0.363636 -1.440417729180977657e+00 -8.330094953326128149e+00 +3.403831182584619031e-01
0.371717 -1.503195522029305620e+00 -7.199373888742852223e+00 +3.579086577351375809e-01
0.379798 -1.556650956889165549e+00 -6.024004513473321332e+00 +3.768446265889323632e-01
0.387879 -1.600452519534405038e+00 -4.811276108202839019e+00 +3.970027262017103431e-01
0.395960 -1.634328566095177626e+00 -3.568709642870422361e+00 +4.181643878379390777e-01
0.404040 -1.657361670499612583e+00 -1.953575047051848701e+00 +4.400830336845523161e-01
0.412121 -1.665146886213844990e+00 +2.828110809581055318e-02 +4.624200667691416577e-01
0.420202 -1.656905335523480849e+00 +2.009865062204856390e+00 +4.847509693855024393e-01
0.428283 -1.632716342006377275e+00 +3.972104393854085203e+00 +5.066483518671648367e-01
0.436364 -1.592812720768609136e+00 +5.896112870450653354e+00 +5.277014746290066283e-01
0.444444 -1.537578537636984821e+00 +7.763372225126417447e+00 +5.475320233226150801e-01
0.452525 -1.467545412589493781e+00 +9.555910392031153222e+00 +5.658086386451143257e-01
0.460606 -1.383387402999100235e+00 +1.125647448452444799e+01 +5.822596427592129364e-01
0.468687 -1.285914515941954939e+00 +1.284869685138782103e+01 +5.966834735446298055e-01
0.476768 -1.176064912011824060e+00 +1.431725261279045647e+01 +6.089564259356337050e-01
0.484848 -1.054895875677314354e+00 +1.564800715974402756e+01 +6.190374030253678050e-01
0.492929 -9.235736390925066708e-01 +1.682815219740657042e+01 +6.269694944627988153e-01
0.501010 -7.833621573035119967e-01 +1.784632902283103562e+01 +6.328783215211836177e-01
0.509091 -6.356109428874892053e-01 +1.869273785061922766e+01 +6.369672123984547740e-01
0.517172 -4.817420771137942426e-01 +1.935923213421556355e+01 +6.395093930504072155e-01
0.525253 -3.232365226481053733e-01 +1.983939697519588208e+01 +6.408374934813092505e-01
0.533333 -1.616198695245620875e-01 +2.012861086549443002e+01 +6.413307725201865539e-01
0.541414 +1.552348406536030803e-03 +2.022409016872744303e+01 +6.414005517377033838e-01
0.549495 +1.647096252382013737e-01 +2.012491591222767084e+01 +6.414744179385711842e-01
0.557576 +3.262815988693531510e-01 +1.983204263199899486e+01 +6.419798009598990385e-01
0.565657 +4.847131654829937020e-01 +1.934828918545798260e+01 +6.433275574981823786e-01
0.573737 +6.384794471658794546e-01 +1.867831162039392723e+01 +6.458961914560698014e-01
0.581818 +7.861004686092559757e-01 +1.782855836128216609e+01 +6.500173168533279755e-01
0.589899 +9.261554016289791358e-01 +1.680720814424376996e+01 +6.559629216240079330e-01
0.597980 +1.057296240404376642e+00 +1.562409129805029373e+01 +6.639349214552111578e-01
0.606061 +1.178260775813811057e+00 +1.429059512881754301e+01 +6.740574048702082655e-01
0.614141 +1.287884743990382885e+00 +1.281955431904049370e+01 +6.863718673968315365e-01
0.622222 +1.385113032171692904e+00 +1.122512739588306729e+01 +7.008356178607179077e-01
0.630303 +1.469009833987964475e+00 +9.522660457672522227e+00 +7.173234180127414650e-01
0.638384 +1.538767656444993470e+00 +7.728539470208444229e+00 +7.356322925179702432e-01
0.646465 +1.593715091908975090e+00 +5.860032554509692737e+00 +7.554893245703556692e-01
0.654545 +1.633323280304406211e+00 +3.935123784019753046e+00 +7.765621377280632620e-01
0.662626 +1.657210999295711584e+00 +1.972340090787086941e+00 +7.984716613994609080e-01
0.670707 +1.665148333495225508e+00 -9.427053198011695057e-03 +8.208066896962388226e-01
0.678788 +1.657058887360330468e+00 -1.991103463338774082e+00 +8.431396744981175528e-01
0.686869 +1.633020520487425076e+00 -3.953615828339883898e+00 +8.650431461687854151e-01
0.694949 +1.593264598225708761e+00 -5.878075287707167362e+00 +8.861061312574636251e-01
0.703030 +1.538173764823524525e+00 -7.745959233937000477e+00 +9.059499366362773198e-01
0.711111 +1.468278260541165059e+00 -9.539289589587697904e+00 +9.242426938567589456e-01
0.719192 +1.384250818174243669e+00 -1.124080584333170663e+01 +9.407121051244987653e-01
0.727273 +1.286900188110743359e+00 -1.283413117955425164e+01 +9.551559013610848581e-01
0.735354 +1.177163354240865489e+00 -1.430393010252483776e+01 +9.674496106935764894e-01
0.743434 +1.056096515639839195e+00 -1.563605603802853850e+01 +9.775513390093709676e-01
0.751515 +9.248649208252721632e-01 -1.681768749183281741e+01 +9.855033789711976633e-01
0.759596 +7.847316524310601338e-01 -1.783745145447842972e+01 +9.914305856952059237e-01
0.767677 +6.370454702432331029e-01 -1.868553286463103191e+01 +9.955355814769213385e-01
0.775758 +4.832278296065840584e-01 -1.935376907740349495e+01 +9.980909737358210077e-01
0.783838 +3.247592001532276229e-01 -1.983572842858814411e+01 +9.994288850618878728e-01
0.791919 +1.631648165200987877e-01 -2.012677213825204703e+01 +9.999281974800076078e-01
0.800000 -1.782704312294769444e-09 -2.022409895829933646e+01 +1.000000000838656922e+00
