# Equation de SCHRODINGER
# x phi(x) phi'(x) N(x)
0.000000 +0.000000000000000000e+00 +1.704350559598924519e+01 +0.000000000000000000e+00
0.008081 +1.375042962062731910e-01 +1.696148511925013125e+01 +5.099460887425798531e-05
0.016162 +2.736851360537674305e-01 +1.671621312270289295e+01 +4.056053327850966971e-04
0.024242 +4.072318012346461957e-01 +1.631005030919356713e+01 +1.355787391230349123e-03
0.032323 +5.368589269413591714e-01 +1.574690592936445555e+01 +3.170622069232808832e-03
0.040404 +6.613188732926645885e-01 +1.503220015575555024e+01 +6.085982190938394633e-03
0.048485 +7.794137336634126001e-01 +1.417281191453052891e+01 +1.029547302087978518e-02
0.056566 +8.900068643398548751e-01 +1.317701267693736256e+01 +1.594299652307267987e-02
0.064646 +9.920338245294227919e-01 +1.205438684775008440e+01 +2.311722456027640385e-02
0.072727 +1.084512621429337687e+00 +1.081573951694208269e+01 +3.184819329961836171e-02
0.080808 +1.166553161746659573e+00 +9.472992462461469643e+00 +4.210614962229738967e-02
0.088889 +1.237365818700608022e+00 +8.039069405068229202e+00 +5.380269384293958485e-02
0.096970 +1.296269032051193593e+00 +6.527771619636245859e+00 +6.679417485051795944e-02
0.105051 +1.342695868004807336e+00 +4.953645100139148383e+00 +8.088720727467536842e-02
0.113131 +1.376199475859606336e+00 +3.331840556840034662e+00 +9.584609878118464932e-02
0.121212 +1.396457388870104621e+00 +1.677967593182018824e+00 +1.114019022386814467e-01
0.129293 +1.403274627936650143e+00 +7.944465909463127584e-03 +1.272627450926520909e-01
0.137374 +1.396585578248942250e+00 -1.662155125548569368e+00 +1.431250392294532436e-01
0.145455 +1.376454620816550678e+00 -3.316256745810399753e+00 +1.586851407964853800e-01
0.153535 +1.343075512812013317e+00 -4.938439937351544629e+00 +1.736510121630219228e-01
0.161616 +1.296769522689556364e+00 -6.513091452301497775e+00 +1.877534381242532135e-01
0.169697 +1.237982338029847584e+00 -8.025055527403813116e+00 +2.007563655711303019e-01
0.177778 +1.167279775869165093e+00 -9.459779755756533959e+00 +2.124659695132383730e-01
0.185859 +1.085342336803113206e+00 -1.080345515134828283e+01 +2.227380972586472385e-01
0.193939 +9.929586552792949439e-01 -1.204314905828488591e+01 +2.314838048442580953e-01
